config_id,label,scope,parent,line,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,1,version,GLOBAL,version 17.4.1,,,,
C_1,2,service,GLOBAL,service tcp-keepalives-in,,,,
C_1,2,service,GLOBAL,service timestamps debug datetime localtime,,,,
C_1,1,service,GLOBAL,__MISSING__ service timestamps log datetime localtime,,,,
C_1,1,service,GLOBAL,__MISSING__ service password-encryption,,,,
C_1,1,service,GLOBAL,service dhcp,,,,
C_1,1,service,GLOBAL,__MISSING__ no service dhcp,,,,
C_1,2,global,GLOBAL,no platform punt-keepalive disable-kernel-core,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,hostname PRI-49-35.8,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,shell processing full,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,vrf definition Mgmt-vrf,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,address-family ipv4,,,,
C_1,2,global,GLOBAL,exit-address-family,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,address-family ipv6,,,,
C_1,2,global,GLOBAL,exit-address-family,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,1,logging,GLOBAL,__MISSING__ logging userinfo,,,,
C_1,1,logging,GLOBAL,__MISSING__ logging buffered 40960,,,,
C_1,2,logging,GLOBAL,no logging console,,,,
C_1,2,global,GLOBAL,aaa new-model,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,0,aaa group server tacacs+,aaa new-model,aaa group server tacacs+ GROUP_TACACS,,,,
C_1,0,aaa group server tacacs+,aaa group server tacacs+ GROUP_TACACS,server name PSN-1,,,,
C_1,1,aaa group server tacacs+,aaa group server tacacs+ GROUP_TACACS,__MISSING__ server name PSN-2,,,,
C_1,1,aaa group server tacacs+,aaa group server tacacs+ GROUP_TACACS,__MISSING__ server name PSN-3,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,0,aaa group server radius,aaa new-model,aaa group server radius GROUP_RADIUS,,,,
C_1,0,aaa group server radius,aaa group server radius GROUP_RADIUS,server name RAD-1,,,,
C_1,1,aaa group server radius,aaa group server radius GROUP_RADIUS,__MISSING__ server name RAD-2,,,,
C_1,1,aaa group server radius,aaa group server radius GROUP_RADIUS,__MISSING__ server name RAD-3,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,0,aaa authentication login,aaa new-model,aaa authentication login default group GROUP_TACACS local,,,,
C_1,0,aaa authentication enable,aaa new-model,aaa authentication enable default group GROUP_TACACS enable,,,,
C_1,1,aaa authentication dot1x,aaa new-model,aaa authentication dot1x default group GROUP_TACACS,,,,
C_1,1,aaa authentication dot1x,aaa new-model,__MISSING__ aaa authentication dot1x default group GROUP_RADIUS,,,,
C_1,0,aaa authentication console,aaa new-model,aaa authorization console,,,,
C_1,0,aaa authentication config-commands,aaa new-model,aaa authorization config-commands,,,,
C_1,0,aaa authentication exec,aaa new-model,aaa authorization exec default group GROUP_TACACS local if-authenticated,,,,
C_1,2,aaa authentication console,aaa new-model,aaa authorization exec CON none,,,,
C_1,2,aaa authorization commands 1,aaa new-model,aaa authorization commands 1 default group GROUP_TACACS local if-authenticated,,,,
C_1,0,aaa authorization commands 15,aaa new-model,aaa authorization commands 15 default group GROUP_TACACS local if-authenticated,,,,
C_1,1,aaa authorization network,aaa new-model,aaa authorization network default group GROUP_TACACS,,,,
C_1,1,aaa authorization network,aaa new-model,__MISSING__ aaa authorization network default group GROUP_RADIUS,,,,
C_1,2,aaa accounting dot1x,aaa new-model,aaa accounting dot1x default start-stop group GROUP_TACACS,,,,
C_1,0,aaa accounting exec default start-stop,aaa new-model,aaa accounting exec default start-stop group GROUP_TACACS,,,,
C_1,2,aaa accounting commands 1,aaa new-model,aaa accounting commands 1 default start-stop group GROUP_TACACS,,,,
C_1,1,aaa accounting commands 15,aaa new-model,aaa accounting commands 15 default start-stop group GROUP_RADIUS,,,,
C_1,1,aaa accounting commands 15,aaa new-model,__MISSING__ aaa accounting commands 15 default start-stop group GROUP_TACACS,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,0,aaa common-criteria policy,aaa new-model,aaa common-criteria policy PASSWORD_POLICY,,,,
C_1,1,min-length,aaa common-criteria policy PASSWORD_POLICY,__MISSING__ min-length 15,,,,
C_1,1,numeric-count,aaa common-criteria policy PASSWORD_POLICY,__MISSING__ numeric-count 1,,,,
C_1,0,upper-case,aaa common-criteria policy PASSWORD_POLICY,upper-case 1,,,,
C_1,0,lower-case,aaa common-criteria policy PASSWORD_POLICY,lower-case 1,,,,
C_1,0,special-case,aaa common-criteria policy PASSWORD_POLICY,special-case 1,,,,
C_1,1,char-changes,aaa common-criteria policy PASSWORD_POLICY,char-changes 1,,,,
C_1,1,char-changes,aaa common-criteria policy PASSWORD_POLICY,char-changes 8,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,aaa server radius dynamic-author,,,,
C_1,2,global,GLOBAL,client 192.168.95.206 server-key 7 00301B0F1772183207246D5B1D110A05390E15,,,,
C_1,2,global,GLOBAL,client 192.168.95.86 server-key 7 00301B0F1772183207246D5B1D110A05390E15,,,,
C_1,2,global,GLOBAL,client 192.168.95.87 server-key 7 00301B0F1772183207246D5B1D110A05390E15,,,,
C_1,2,global,GLOBAL,port 3799,,,,
C_1,2,global,GLOBAL,auth-type all,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,aaa session-id common,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,clock timezone EST -5 0,,,,
C_1,2,global,GLOBAL,boot system flash:packages.conf,,,,
C_1,2,global,GLOBAL,system environment temperature threshold yellow 10,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,ip name-server 192.168.95.71 192.168.95.70,,,,
C_1,2,global,GLOBAL,no ip domain lookup,,,,
C_1,2,global,GLOBAL,ip domain name br.st.company.domain,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,1,login,GLOBAL,login block-for 514 attempts 510 within 363,,,,
C_1,1,login,GLOBAL,__MISSING__ login block-for 900 attempts 3 within 120,,,,
C_1,2,global,GLOBAL,login quiet-mode access-class SSH,,,,
C_1,1,logging,GLOBAL,__MISSING__ login on-failure log,,,,
C_1,1,logging,GLOBAL,__MISSING__ login on-success log,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,,,,,
C_1,1,udld,GLOBAL,__MISSING__ udld,,,,
C_1,2,global,GLOBAL,,,,,
C_1,2,global,GLOBAL,vtp domain NGIN,,,,
C_1,0,vtp,GLOBAL,vtp mode off,,,,
C_1,2,global,GLOBAL,vtp version 1,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,flow exporter WUG22,,,,
C_1,2,global,GLOBAL,destination 10.41.255.30,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,flow exporter 10.41.255.30,,,,
C_1,2,global,GLOBAL,destination 10.41.255.30,,,,
C_1,2,global,GLOBAL,transport udp 9996,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,authentication mac-move permit,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,table-map AutoQos-4.0-Trust-Cos-Table,,,,
C_1,2,global,GLOBAL,default copy,,,,
C_1,2,global,GLOBAL,table-map policed-dscp,,,,
C_1,2,global,GLOBAL,map from  0 to 8,,,,
C_1,2,global,GLOBAL,map from  10 to 8,,,,
C_1,2,global,GLOBAL,map from  18 to 8,,,,
C_1,2,global,GLOBAL,map from  24 to 8,,,,
C_1,2,global,GLOBAL,map from  46 to 8,,,,
C_1,2,global,GLOBAL,default copy,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,device-tracking tracking,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,device-tracking policy IPDT_MAX_10,,,,
C_1,2,global,GLOBAL,limit address-count 10,,,,
C_1,2,global,GLOBAL,no protocol udp,,,,
C_1,2,global,GLOBAL,tracking enable,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,device-tracking policy IPDT_POLICY,,,,
C_1,2,global,GLOBAL,no protocol udp,,,,
C_1,2,global,GLOBAL,tracking enable,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,crypto pki trustpoint SLA-TrustPoint,,,,
C_1,2,global,GLOBAL,enrollment pkcs12,,,,
C_1,2,global,GLOBAL,revocation-check crl,,,,
C_1,2,global,GLOBAL,hash sha256,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,crypto pki trustpoint TP-self-signed-6996255664,,,,
C_1,2,global,GLOBAL,enrollment selfsigned,,,,
C_1,2,global,GLOBAL,subject-name cn=IOS-Self-Signed-Certificate-6996255664,,,,
C_1,2,global,GLOBAL,revocation-check none,,,,
C_1,2,global,GLOBAL,rsakeypair TP-self-signed-6996255664,,,,
C_1,2,global,GLOBAL,hash sha256,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,crypto pki trustpoint DNAC-ALT,,,,
C_1,2,global,GLOBAL,enrollment mode ra,,,,
C_1,2,global,GLOBAL,enrollment terminal,,,,
C_1,2,global,GLOBAL,usage ssl-client,,,,
C_1,2,global,GLOBAL,revocation-check crl none,,,,
C_1,2,global,GLOBAL,source interface Vlan255,,,,
C_1,2,global,GLOBAL,hash sha256,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,crypto pki certificate chain SLA-TrustPoint,,,,
C_1,2,global,GLOBAL,certificate ca 01,,,,
C_1,2,global,GLOBAL,quit,,,,
C_1,2,global,GLOBAL,crypto pki certificate chain TP-self-signed-6996255664,,,,
C_1,2,global,GLOBAL,certificate self-signed 01,,,,
C_1,2,global,GLOBAL,quit,,,,
C_1,2,global,GLOBAL,crypto pki certificate chain DNAC-ALT,,,,
C_1,2,global,GLOBAL,quit,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,1,aaa new-model,GLOBAL,__MISSING__ dot1x system-auth-control,,,,
C_1,1,aaa new-model,dot1x system-auth-control,__MISSING__ archive,,,,
C_1,1,dot1x system-auth-control,archive,__MISSING__ log config,,,,
C_1,1,archive,log config,__MISSING__ logging enable,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,license boot level network-advantage addon dna-advantage,,,,
C_1,2,global,GLOBAL,license smart transport off,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,1,aaa new-model,GLOBAL,__MISSING__ dot1x system-auth-control,,,,
C_1,1,aaa new-model,dot1x system-auth-control,__MISSING__ archive,,,,
C_1,1,dot1x system-auth-control,archive,__MISSING__ log config,,,,
C_1,1,archive,log config,__MISSING__ logging enable,,,,
C_1,2,global,GLOBAL,memory free low-watermark processor 87534,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,diagnostic bootup level minimal,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,0,spanning-tree,GLOBAL,spanning-tree mode rapid-pvst,,,,
C_1,0,spanning-tree,GLOBAL,spanning-tree loopguard default,,,,
C_1,0,spanning-tree,GLOBAL,spanning-tree portfast default,,,,
C_1,0,spanning-tree,GLOBAL,spanning-tree portfast bpduguard default,,,,
C_1,0,spanning-tree,GLOBAL,spanning-tree extend system-id,,,,
C_1,0,spanning-tree,GLOBAL,"spanning-tree vlan 2-5,11-13,20,71,255",,,,
C_1,1,dhcp snooping,GLOBAL,__MISSING__ ip dhcp snooping,,,,
C_1,1,dhcp snooping,GLOBAL,"__MISSING__ ip dhcp snooping vlan 5,20,71,107,111,113,255-256,777",,,,
C_1,1,arp inspection,GLOBAL,"__MISSING__ ip arp inspection vlan 5,20,71,107,111,113,255-256,777",,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,!,,,,
C_1,2,global,GLOBAL,errdisable detect cause security-violation shutdown vlan,,,,
C_1,2,global,GLOBAL,errdisable recovery cause udld,,,,
C_1,2,global,GLOBAL,errdisable recovery cause bpduguard,,,,
